* 8069ca2	(2026-03-15 13:09:51 +0800) IF_ID总线完成
* dde27c3	(2026-02-21 14:29:34 +0800) 给readme改了一下
* a40e20f	(2026-02-21 14:24:02 +0800) 可以运行字符版本的超级玛丽
* 60ff123	(2026-02-21 12:13:49 +0800) real-time clock test测试通过！
* 1a42f67	(2026-02-21 00:00:36 +0800) 修复putch，还剩下世界的
* 5d2f1ce	(2026-02-20 18:26:21 +0800) master合并完成
* 14026cd	(2026-02-20 16:56:57 +0800) 合并完成的检查
*   ad83b13	(2026-02-20 16:55:00 +0800) Merge branch 'pa2' into tracer-ysyx
|\  
| * 655e44d	(2026-02-20 16:39:44 +0800) 完成必答题，即将进行合并
| * 6a575ac	(2026-02-20 10:15:50 +0800) 理解完成
| * 13721b6	(2026-02-19 23:13:45 +0800) 终于！！！完成了原因是CDL_CreateWindowAndRenderer有问题，后来改成了SDL_CreateWindow+SDL_CreateRenderer的形式就顿时解决了
| * 30f5cf2	(2026-02-19 12:20:24 +0800) 上一个貌似是没有问题的
| * 42edc81	(2026-02-18 23:07:19 +0800) 黑屏，疑似是更新时出现问题，导致大量的对于syn的读取
| * c5cf4af	(2026-02-15 22:04:33 +0800) 休息了，春节回来继续
| * 30db219	(2026-02-15 20:00:01 +0800) 玛丽运行完成
| * d8888f4	(2026-02-15 16:59:26 +0800) 完成了运行演示程序
| * d555459	(2026-02-15 11:29:54 +0800) 时间修复
| * fd6d060	(2026-02-14 23:13:01 +0800) 实现了AM_TIMER_UPTIME
| * 177f5ae	(2026-02-14 20:58:47 +0800) printf完成，测试通过
| * 2d796f9	(2026-02-14 16:37:36 +0800) 完成了iringbuf和mtrace
| * f425a73	(2026-02-13 22:59:08 +0800) 尝试添加iringbuf
| * dd6c2f5	(2026-02-13 20:03:04 +0800) D4完成进入D5
| * 759a340	(2026-02-13 15:01:28 +0800) minirv的rv32I通过！同时还修复了部分nemu的问题
| * aa846cb	(2026-02-12 22:34:31 +0800) 推送
| * d6ede76	(2026-02-12 22:33:38 +0800) 第一步
| * 64cc910	(2026-02-12 18:00:09 +0800) 0x80000000
| * 934e4f0	(2026-02-12 16:44:52 +0800) minirv完成！！
| * ae0b6a9	(2026-02-12 15:51:07 +0800) 终于！！完成了sum
| * e36b6de	(2026-02-12 11:18:20 +0800) 通过了addi和jalr
| * 08eb6a3	(2026-02-12 09:31:18 +0800) 换用简化的mux
| * 32cf1e8	(2026-02-11 21:16:23 +0800) 新的开始
| * e5b9bac	(2026-02-11 17:13:15 +0800) 尝试简化思路
| * d780091	(2026-02-11 15:05:42 +0800) chk通过
| * 6a6a634	(2026-02-11 12:19:04 +0800) 基本完成基础构筑
| * 73ebc69	(2026-02-10 22:41:00 +0800) 重组npc
| * da4cbdc	(2026-02-10 20:09:58 +0800) 重构了npc
| * fccaf7b	(2026-02-10 17:35:49 +0800) 通过全部测试
| * a682660	(2026-02-10 12:00:15 +0800) 恐惧 未来
| * a26a6f8	(2026-02-10 11:50:01 +0800) 浴火重生
| * 91f39f1	(2026-02-10 11:33:04 +0800) 归来
| * cf5c33d	(2026-02-10 11:30:26 +0800) 普通
| * 2eb20c9	(2026-02-10 11:01:48 +0800) 新的开始
| * 624765a	(2026-02-10 10:48:34 +0800) 小修
| * e101aa5	(2026-02-10 10:34:31 +0800) sad,重大的损失
| * e954310	(2026-02-09 17:36:26 +0800) 完成：通过批处理模式运行NEMU
| * 8fc7dd1	(2026-02-09 11:40:30 +0800) 日记完成
| * 315988e	(2026-02-09 11:31:24 +0800) 日记
| * 7b36d26	(2026-02-09 10:21:00 +0800) 全部通过（除了两个）
| * 5d967de	(2026-02-08 23:03:32 +0800) 只剩下mul-longlong
| * 9255db5	(2026-02-08 21:13:13 +0800) 错误率：7/33
| * f782951	(2026-02-08 15:37:39 +0800) 完成了rv32的主要指令的预填写
| * 3a5ec6c	(2026-02-08 14:18:58 +0800) 修复readme
| * 4d1bb79	(2026-02-08 14:16:14 +0800) 运行第一个客户程序
| * 9e13b64	(2026-02-08 11:34:36 +0800) 小修
| *   29c6770	(2026-02-08 10:21:19 +0800) E4归来
| |\  
| * | f6bdfc7	(2026-02-08 10:20:32 +0800) 收复yosys-sta
| * | 826b1a6	(2026-02-08 10:19:00 +0800) 收复am-kernels
| * | 38c3966	(2026-02-07 08:35:26 +0800) 还剩sw
| * | ef85643	(2026-02-06 20:45:22 +0800) PA2初探
|/ /  
* | 283017b	(2026-02-06 17:39:20 +0800) before starting pa2
* | 3555474	(2026-02-06 17:38:56 +0800) before starting pa2
* | b4da15f	(2026-02-04 17:13:45 +0800) 复习
* | 7865e48	(2026-02-03 22:40:12 +0800) 进一步完善nemu
* | 8ee6cda	(2026-02-03 17:07:04 +0800) 修复完ex7，确保678可综合
* | c939933	(2026-01-31 15:08:47 +0800) 补完nemu
* | c4ff4fd	(2026-01-31 11:29:54 +0800) 修复问题
* | 9d89c6e	(2026-01-31 10:37:53 +0800) 小修
* | aa65e60	(2026-01-31 09:54:29 +0800) 测试
* | 67ffa30	(2026-01-31 09:51:16 +0800) 复习2
* | bfd7f99	(2026-01-31 09:29:13 +0800) 复习
* | 81e2100	(2026-01-30 23:27:40 +0800) 危机解除
* | 393a923	(2026-01-30 23:26:35 +0800) 测试
* | eff962e	(2026-01-30 23:25:48 +0800) 复习E4，还剩33，一个至关重要的教训，以后再vscode开着的时候一定一定不要让电脑休眠，休眠一次损坏一个git
* | 0fca59c	(2026-01-30 11:54:37 +0800) 复习
| | *   34784f9	(2026-01-28 11:41:16 +0800) On master:  小修
| |/|\  
|/| | | 
| |/ /  
|/| |   
* |   b29ca36	(2026-01-27 22:10:08 +0800) Merge branch 'master' into tracer-ysyx
|\ \  
| * | 7ddc8dc	(2026-01-27 22:03:33 +0800) 合并完成，等待答辩
| * |   a161a53	(2026-01-27 19:26:01 +0800) 合并 tracer-ysyx 到 master
| |\ \  
| |/ /  
|/| |   
* | |   2564258	(2026-01-27 19:04:47 +0800) Merge branch 'pa1' into tracer-ysyx
|\ \ \  
| * | | 1e56799	(2026-01-27 19:02:00 +0800) E阶段完成
| * | | ed5630b	(2026-01-27 10:42:40 +0800) 完成监视点
| * | | 9c7c9af	(2026-01-26 16:45:38 +0800) p完成！！
| * | | 3482206	(2026-01-26 09:41:31 +0800) 表达式求值，完成！！！！
| * | | a8e9c31	(2026-01-25 18:32:39 +0800) 发现错误：错的是测试用例的计算，我强行使用(__uint32_t)之后就一样了
| * | | 02184ad	(2026-01-25 18:03:28 +0800) 卡在13条，计算结果偏差1
| * | | f73eaf0	(2026-01-24 22:39:56 +0800) 逐渐完成了生成1W条测试用例的问题，现在还卡在让NEMU运行
| * | | ada0085	(2026-01-24 18:34:36 +0800) 1W测试用例完成
| * | | 915b090	(2026-01-24 11:14:22 +0800) 完成测试用例的生成，解决了一个隐藏的/0问题。之前的报错退出不是表达式出问题，而是rand()%iTemp的iTemp==0，这才导致出错。此外，我还让检测到有/0的时候i--，这样就可以保证输出的量是正确的，而不用预估。此前根据估计，大约有10%的式子会有/0，即1804/2000。希望机魂大悦
| * | | 7727b7b	(2026-01-23 22:11:49 +0800) 完成了测试用例的生成工具
| * | | a6f5c4b	(2026-01-23 18:27:23 +0800) 完成了eval，可以处理负数，p完成
| * | | 8d5ace2	(2026-01-23 16:50:44 +0800) check_parentheses完成，eval的op判断还有待继续
| * | | c19aaa5	(2026-01-23 15:03:35 +0800) 完成了+数字和空格的token识别，一旦识别到数字过长就会弹出报错让用户重新输入一遍
| * | | e85802f	(2026-01-22 20:59:24 +0800) 完成x
| * | | c3b986c	(2026-01-22 18:23:16 +0800) 完成了info si，但是x的问题是读取的内容错误，有待继续
| * | | 7671a68	(2026-01-22 13:14:07 +0800) 修改cmd_q，实现优雅的退出
* | | | 74a1aab	(2026-01-21 13:20:13 +0800) E6开始
| | * | a496b9e	(2026-01-21 13:18:40 +0800) E5结束E6开始，开始挑战PA1，提交到github备份后
| |/ /  
|/| |   
| * | a0ad312	(2026-01-21 13:17:18 +0800) E5结束E6开始，开始挑战PA1
* | | 7a5f7e6	(2026-01-21 12:27:59 +0800) E5完成！！sCPU就绪
* | | 4cc8e72	(2026-01-21 10:58:33 +0800) 完成sCPU
* | | 4c08f8d	(2026-01-21 08:29:34 +0800) 任务：数字电路实验 完成！！！
* | | 78757d3	(2026-01-20 22:56:05 +0800) 还是无法解决图像问题
* | | d28751f	(2026-01-20 18:51:16 +0800) ex8 现在仍然存在的问题是图片会产生偏移
* | | fed16d4	(2026-01-20 12:03:21 +0800) ex7完成
* | | d7a200f	(2026-01-20 10:33:57 +0800) 完成按键松开后消失
* | | c43fe2a	(2026-01-19 22:01:31 +0800) ex7能够显示ascll码和键码，但是还没有实现松开的时候取消和计数
* | | 4eb4755	(2026-01-19 17:59:09 +0800) ex6完成
* | | c709164	(2026-01-19 17:00:22 +0800) ex3完成
* | | 8947e25	(2026-01-18 21:45:48 +0800) 加法正常，减法错误
* | | c27ed41	(2026-01-18 20:26:49 +0800) nvbroad ex2实验二 译码器和编码器
* | | dc08cfa	(2026-01-18 19:18:03 +0800) 完成版图阶段的任务，接下来是南大NVbroad的任务
* | | 13e3abd	(2026-01-18 16:41:09 +0800) 完成了不同的PVT角和L\R电压的评估
* | | 70558a0	(2026-01-17 13:53:22 +0800) 优化完成sta,实现进行时序估算与能耗估算
* | | 8ee8fa2	(2026-01-17 12:20:38 +0800) 完善了yosys的自动化操作。这几天离校耽搁了不少时间
* | | a192f45	(2026-01-12 22:35:51 +0800) 终于是接上nvbroad了，到此为止吧，明天就高数了
| | * 8025c3c	(2026-01-11 17:48:23 +0800) E5的开始
| | * d0c460f	(2026-01-11 12:49:50 +0800) NJU-ProjectN/nvboard master initialized without tracing
| * | 1d9460d	(2026-01-02 21:27:23 +0800) NJU-ProjectN/am-kernels ics2021 initialized without tracing
| | * a66185d	(2026-01-02 21:18:33 +0800) 结束，再见！！
| | * cf1f5ea	(2026-01-02 21:15:35 +0800) over
| | * ea70770	(2026-01-02 20:56:57 +0800) before starting pa1
| | * 2c8da86	(2026-01-02 20:39:32 +0800) E4minirvEMU eBreak 运行成功！！，这可比用logisim快多了，调试时用gdb+logisim更方便
| | * e7f3e3a	(2026-01-02 14:52:57 +0800) E4sEMU 完成自定义
| | * 2bf1127	(2026-01-02 14:35:01 +0800) E4sEMU 完成out部分，原本的输出改为debug
| | * 1563b62	(2026-01-02 14:08:05 +0800) E4补充
| | * 04bd276	(2026-01-01 22:23:58 +0800) E4 main既不是起点也不是终点，它只是程序员的开始和结束，但前后还有很多程序负责各种环境的准备与处理
| | * 276fa0e	(2026-01-01 19:31:55 +0800) ex33 结束！完结！！！！
| | * 86469fa	(2026-01-01 15:10:46 +0800) ex33 有序链表
| | * 032cbf5	(2026-01-01 11:12:37 +0800) ex32 成功！！
| | * a9e2e9d	(2026-01-01 11:10:42 +0800) 修复了link的23个报错
| | * c864eec	(2026-01-01 10:44:27 +0800) ex32 终于解决了copy的错误，原因是list_clear在链表里面还有东西的情况下会尝试释放链表内部的指针指向的东西，而如果正好指向的是被定义的常量字符串就会触发权限错误，即Address 0x10c008 is in a r-- mapped file /home/biruide/ysyx-workbench/myc/bin/ex32a segment，然后退出。解决方法是在clear里面增加一个循环判断，如果发现链表非空（count！=0）就pop它知道它是空链表为止
| | * aaf4066	(2026-01-01 00:18:40 +0800) ex32 实验对照可知，再copy后会导致链表进入不可写的状态，此时尝试clear它就会报错，其余的几个函数也是有类似的问题，会导致clear一个不可读写的东西而失效报错，三个函数都有这个问题，有待后续解决
| | * 6b2d084	(2025-12-31 22:54:02 +0800) 精疲力尽，目前已知的报错是出现再List_clear里面，躯体未知，有待进一步探究。新年快乐
| | * 3f5ca74	(2025-12-31 20:02:06 +0800) ex31
| | * 17104df	(2025-12-31 18:43:54 +0800) ex30
| | * 8f4c2f8	(2025-12-31 16:40:32 +0800) ex29 终于完成了！！！ 改了makefile好几遍 忙了差不多3个小时
| | * 36d0af0	(2025-12-31 15:07:09 +0800) ex29 完善了自动化测试工具
| | * eaa6013	(2025-12-30 16:55:33 +0800) ex28 彻底重构了整个项目的组织架构，新增了src和bin把源文件与程序分开了
| | * 5927f5e	(2025-12-30 16:01:05 +0800) ex27
| | * 769737c	(2025-12-30 15:21:23 +0800) ex25 完成myPrintf
| | * 02d6927	(2025-12-29 22:40:20 +0800) 基本理解了**out_string以及多级指针的概念
| | * 25e8724	(2025-12-29 15:59:33 +0800) ex24
| | * 2f24e87	(2025-12-28 22:47:32 +0800) ex22
| | * 87f85ac	(2025-12-28 10:53:13 +0800) ex21
| | * fb47152	(2025-12-28 09:45:07 +0800) ex20
| | * bc470f8	(2025-12-27 20:37:56 +0800) ex19 +ex19a新游戏
| | * 7449629	(2025-12-27 16:02:16 +0800) ex18
| | * 9e30ad1	(2025-12-27 12:02:09 +0800) ex17
| | * 03383e6	(2025-12-27 11:51:06 +0800) ex17 指针化 全局变量 更多参数
| | * d352e29	(2025-12-26 22:12:04 +0800) ex17 指针化前
| | * 9444d11	(2025-12-21 18:37:20 +0800) ex16
| | * 81152e3	(2025-12-21 16:12:29 +0800) ex15
| | * 4a018d2	(2025-12-21 12:02:38 +0800) ex14
| | * c48ef78	(2025-12-21 10:43:23 +0800) ex13
| | * aebfdcd	(2025-12-21 08:50:29 +0800) ex11
| | * 91d360f	(2025-12-21 08:47:38 +0800) ex11
| | * 3a1bcdd	(2025-12-20 22:20:33 +0800) ex10
| | * 01deb19	(2025-12-20 10:19:27 +0800) ex9
| | * 8a4bd35	(2025-12-19 22:41:04 +0800) ex8 由于运气过好，无法使它崩溃
| | * 3fd4efb	(2025-12-17 22:06:10 +0800) ex7
| | * 09543d6	(2025-12-17 18:28:30 +0800) ex6
| | * 9ae97f9	(2025-12-17 18:20:59 +0800) ex5
| | * 913fa33	(2025-12-17 17:06:59 +0800) ex4
| | * b9c20fa	(2025-12-17 16:35:36 +0800) ex3
| | * 093bff0	(2025-12-17 15:39:37 +0800) ex2
| | * 388c96b	(2025-12-16 22:12:21 +0800) 练习1
| | * 5e93f1c	(2025-12-16 13:43:40 +0800) first,finish t1
| |/  
|/  
* d030e6e	(2025-12-15 16:23:35 +0800) NJU-ProjectN/fceux-am ics2021 initialized without tracing
* 3d4c65f	(2025-12-15 16:23:30 +0800) NJU-ProjectN/abstract-machine ics2024 initialized
* a86ee21	(2025-12-15 16:19:53 +0800) NJU-ProjectN/nemu ics2024 initialized
* 19e3c77	(2025-12-15 15:41:14 +0800) 填写信息
* c074ba4	(2024-08-31 10:12:13 +0800) bump NEMU, AM and Navy-apps to ics2024
* d111691	(2024-04-11 02:17:34 +0800) init.sh: modify the URL of chisel-playground
*   45b0981	(2023-11-19 13:18:38 +0800) Merge pull request #15 from Wenz-jam/master
|\  
| * 1147a5d	(2023-11-18 22:42:12 +0800) 	modified:   Makefile
|/  
* e6c65e0	(2023-07-02 16:46:01 +0800) ready for 2306
* f0a9bfa	(2023-05-18 20:31:37 +0800) README: fix broken URL
* ca1efe6	(2023-04-04 15:48:29 +0800) fix invalid argument for MacOS
* 4b0d756	(2023-02-25 08:33:18 +0800) Makefile: remove 2204 from tracer
*   9205135	(2022-11-04 11:15:06 +0800) Merge pull request #5 from Selflocking/patch-1
|\  
| * aa85138	(2022-11-04 09:28:29 +0800) fix: add build to git ignore
|/  
*   3fc57bc	(2022-06-24 22:48:18 +0800) Merge pull request #4 from huaixv/ysyx2204
|\  
| * 932057f	(2022-06-24 22:07:46 +0800) fix: handle revision and pathspec of same name
|/  
*   e8e7213	(2022-04-21 20:36:18 +0800) Merge pull request #3 from huaixv/ysyx2204
|\  
| * b2c8b7a	(2022-04-21 18:45:53 +0800) fix: switch to YSYX_HOME when exec tracer code
|/  
*   dcd121c	(2022-03-16 15:53:33 +0800) Merge pull request #2 from huaixv/ysyx2204
|\  
| * dcb9466	(2022-03-08 18:50:09 +0800) fix: fix committed files not traced problem
|/  
* 6c7b39a	(2022-03-08 10:50:24 +0800) refactor
*   aa59f01	(2022-03-08 10:40:25 +0800) Merge pull request #1 from huaixv/ysyx2204
|\  
| * a28bbd7	(2022-02-25 17:45:35 +0800) feat: add shadow branch for tracer
|/  
* 0fa7144	(2022-02-21 12:22:27 +0800) first commit
